,Date,Month,Day,Hour,Minute,Power,Central,Domar,Tiunda,Ärentuna,Stenhagen
224,2021-10-06,10,6,14,40,3258.0,1,0,0,0,0
225,2021-10-06,10,6,14,45,5006.0,1,0,0,0,0
226,2021-10-06,10,6,14,50,1873.0,1,0,0,0,0
227,2021-10-06,10,6,14,55,3603.0,1,0,0,0,0
228,2021-10-06,10,6,15,0,2909.0,1,0,0,0,0
229,2021-10-06,10,6,15,5,2095.0,1,0,0,0,0
230,2021-10-06,10,6,15,10,2784.0,1,0,0,0,0
231,2021-10-06,10,6,15,15,4548.0,1,0,0,0,0
232,2021-10-06,10,6,15,20,4354.0,1,0,0,0,0
233,2021-10-06,10,6,15,25,5612.0,1,0,0,0,0
234,2021-10-06,10,6,15,30,5065.0,1,0,0,0,0
235,2021-10-06,10,6,15,35,4780.0,1,0,0,0,0
236,2021-10-06,10,6,15,40,3719.0,1,0,0,0,0
237,2021-10-06,10,6,15,45,3886.0,1,0,0,0,0
238,2021-10-06,10,6,15,50,5103.0,1,0,0,0,0
239,2021-10-06,10,6,15,55,5408.0,1,0,0,0,0
240,2021-10-07,10,7,6,0,1866.0,1,0,0,0,0
241,2021-10-07,10,7,6,5,1862.0,1,0,0,0,0
242,2021-10-07,10,7,6,10,1731.0,1,0,0,0,0
243,2021-10-07,10,7,6,15,2011.0,1,0,0,0,0
244,2021-10-07,10,7,6,20,1794.0,1,0,0,0,0
245,2021-10-07,10,7,6,25,1825.0,1,0,0,0,0
246,2021-10-07,10,7,6,30,6306.0,1,0,0,0,0
247,2021-10-07,10,7,6,35,9167.0,1,0,0,0,0
248,2021-10-07,10,7,6,40,18042.0,1,0,0,0,0
249,2021-10-07,10,7,6,45,20031.0,1,0,0,0,0
250,2021-10-07,10,7,6,50,16751.0,1,0,0,0,0
251,2021-10-07,10,7,6,55,13938.0,1,0,0,0,0
252,2021-10-07,10,7,7,0,13938.0,1,0,0,0,0
253,2021-10-07,10,7,7,5,11304.0,1,0,0,0,0
254,2021-10-07,10,7,7,10,7708.0,1,0,0,0,0
255,2021-10-07,10,7,7,15,9825.0,1,0,0,0,0
256,2021-10-07,10,7,7,20,11482.0,1,0,0,0,0
257,2021-10-07,10,7,7,25,13776.0,1,0,0,0,0
258,2021-10-07,10,7,7,30,16383.0,1,0,0,0,0
259,2021-10-07,10,7,7,35,11362.0,1,0,0,0,0
260,2021-10-07,10,7,7,40,16650.0,1,0,0,0,0
261,2021-10-07,10,7,7,45,19315.0,1,0,0,0,0
262,2021-10-07,10,7,7,50,21611.0,1,0,0,0,0
263,2021-10-07,10,7,7,55,15464.0,1,0,0,0,0
264,2021-10-07,10,7,8,0,19915.0,1,0,0,0,0
265,2021-10-07,10,7,8,5,15120.0,1,0,0,0,0
266,2021-10-07,10,7,8,10,22657.0,1,0,0,0,0
267,2021-10-07,10,7,8,15,19634.0,1,0,0,0,0
268,2021-10-07,10,7,8,20,3652.0,1,0,0,0,0
269,2021-10-07,10,7,8,25,12308.0,1,0,0,0,0
270,2021-10-07,10,7,8,30,34604.0,1,0,0,0,0
271,2021-10-07,10,7,8,35,31792.0,1,0,0,0,0
272,2021-10-07,10,7,8,40,19611.0,1,0,0,0,0
273,2021-10-07,10,7,8,45,14237.0,1,0,0,0,0
274,2021-10-07,10,7,8,50,19388.0,1,0,0,0,0
275,2021-10-07,10,7,8,55,15079.0,1,0,0,0,0
276,2021-10-07,10,7,9,0,12483.0,1,0,0,0,0
277,2021-10-07,10,7,9,5,15593.0,1,0,0,0,0
278,2021-10-07,10,7,9,10,12524.0,1,0,0,0,0
279,2021-10-07,10,7,9,15,10202.0,1,0,0,0,0
280,2021-10-07,10,7,9,20,12183.0,1,0,0,0,0
281,2021-10-07,10,7,9,25,4304.0,1,0,0,0,0
282,2021-10-07,10,7,9,30,3623.0,1,0,0,0,0
283,2021-10-07,10,7,9,35,3427.0,1,0,0,0,0
284,2021-10-07,10,7,9,40,4983.0,1,0,0,0,0
285,2021-10-07,10,7,9,45,11722.0,1,0,0,0,0
286,2021-10-07,10,7,9,50,4896.0,1,0,0,0,0
287,2021-10-07,10,7,9,55,8223.0,1,0,0,0,0
288,2021-10-07,10,7,10,0,9916.0,1,0,0,0,0
289,2021-10-07,10,7,10,5,14991.0,1,0,0,0,0
290,2021-10-07,10,7,10,10,18477.0,1,0,0,0,0
291,2021-10-07,10,7,10,15,16568.0,1,0,0,0,0
292,2021-10-07,10,7,10,20,12891.0,1,0,0,0,0
293,2021-10-07,10,7,10,25,11800.0,1,0,0,0,0
